academic_year,course,cap_round,institute_code,choice_code,sanctioned_intake,ms_seats,ai_seats,minority_seats,ews_seats,tfws_seats
2023-24,B.E/B.Tech,Round I,03176,0317691010,60,14,,,,
2023-24,B.E/B.Tech,Round I,03185,0318524510,180,75,,,,
2023-24,B.E/B.Tech,Round I,03185,0318524610,180,75,,,,
2023-24,B.E/B.Tech,Round I,03185,0318537210,120,50,,,,
2023-24,B.E/B.Tech,Round I,03185,0318590010,60,25,,,,
2023-24,B.E/B.Tech,Round I,03185,0318591610,60,25,,,,
2023-24,B.E/B.Tech,Round I,03185,0318599510,120,50,,,,
2023-24,B.E/B.Tech,Round I,03199,0319924510,180,44,,,,
2023-24,B.E/B.Tech,Round I,03199,0319924610,180,44,,,,
2023-24,B.E/B.Tech,Round I,03199,0319926310,60,14,,,,
2023-24,B.E/B.Tech,Round I,03199,0319937210,180,44,,,,
2023-24,B.E/B.Tech,Round I,03199,0319961210,180,44,,,,
2023-24,B.E/B.Tech,Round I,03199,0319991210,120,30,,,,
2023-24,B.E/B.Tech,Round I,03199,0319992010,60,14,,,,
2023-24,B.E/B.Tech,Round I,03199,0319992110,60,14,,,,
2023-24,B.E/B.Tech,Round I,03207,0320724510,180,44,,,,
2023-24,B.E/B.Tech,Round I,03207,0320724610,120,30,,,,
2023-24,B.E/B.Tech,Round I,03207,0320737210,120,30,,,,
2023-24,B.E/B.Tech,Round I,03207,0320760210,60,14,,,,
2023-24,B.E/B.Tech,Round I,03207,0320761210,60,14,,,,
2023-24,B.E/B.Tech,Round I,03207,0320790010,90,22,,,,
2023-24,B.E/B.Tech,Round I,03209,0320924510,120,50,,,,
2023-24,B.E/B.Tech,Round I,03209,0320924610,120,50,,,,
2023-24,B.E/B.Tech,Round I,03209,0320937210,120,50,,,,
2023-24,B.E/B.Tech,Round I,03209,0320999510,120,50,,,,
2023-24,B.E/B.Tech,Round I,03215,0321524210,120,78,,,,
2023-24,B.E/B.Tech,Round I,03215,0321524510,240,156,,,,
2023-24,B.E/B.Tech,Round I,03215,0321537210,120,78,,,,
2023-24,B.E/B.Tech,Round I,04115,0411519110,60,25,,,,
2023-24,B.E/B.Tech,Round I,04115,0411524210,180,44,,,,
2023-24,B.E/B.Tech,Round I,04115,0411524610,60,14,,,,
2023-24,B.E/B.Tech,Round I,04115,0411529310,30,13,,,,
2023-24,B.E/B.Tech,Round I,04115,0411537010,120,50,,,,
2023-24,B.E/B.Tech,Round I,04115,0411546110,30,13,,,,
2023-24,B.E/B.Tech,Round I,04115,0411561210,60,25,,,,
2023-24,B.E/B.Tech,Round I,04115,0411590010,120,50,,,,
2023-24,B.E/B.Tech,Round I,04115,0411591010,60,14,,,,
2023-24,B.E/B.Tech,Round I,04115,0411591110,180,44,,,,
2023-24,B.E/B.Tech,Round I,04115,0411591210,180,44,,,,
2023-24,B.E/B.Tech,Round I,04116,0411619110,60,25,,,,
2023-24,B.E/B.Tech,Round I,04116,0411624210,180,44,,,,
2023-24,B.E/B.Tech,Round I,04116,0411624610,180,44,,,,
2023-24,B.E/B.Tech,Round I,04116,0411626010,60,14,,,,
2023-24,B.E/B.Tech,Round I,04116,0411626710,60,14,,,,
2023-24,B.E/B.Tech,Round I,04116,0411629310,60,25,,,,
2023-24,B.E/B.Tech,Round I,04116,0411637210,60,14,,,,
2023-24,B.E/B.Tech,Round I,04116,0411637610,60,25,,,,
2023-24,B.E/B.Tech,Round I,04116,0411661210,60,25,,,,
2023-24,B.E/B.Tech,Round I,04116,0411691110,120,30,,,,
2023-24,B.E/B.Tech,Round I,04116,0411691310,60,14,,,,
2023-24,B.E/B.Tech,Round I,04116,0411691710,60,14,,,,
2023-24,B.E/B.Tech,Round I,04116,0411699710,120,30,,,,
2023-24,B.E/B.Tech,Round I,04123,0412300210,60,22,,,,
2023-24,B.E/B.Tech,Round I,04123,0412308210,60,20,,,,
2023-24,B.E/B.Tech,Round I,04123,0412319110,120,50,,,,
2023-24,B.E/B.Tech,Round I,04123,0412324210,120,30,,,,
2023-24,B.E/B.Tech,Round I,04123,0412324610,120,30,,,,
2023-24,B.E/B.Tech,Round I,04123,0412325110,120,30,,,,
2023-24,B.E/B.Tech,Round I,04123,0412326510,60,20,,,,
2023-24,B.E/B.Tech,Round I,04123,0412326610,60,14,,,,
2023-24,B.E/B.Tech,Round I,04123,0412329310,120,45,,,,
2023-24,B.E/B.Tech,Round I,04123,0412335610,60,25,,,,
2023-24,B.E/B.Tech,Round I,04123,0412337010,120,40,,,,
2023-24,B.E/B.Tech,Round I,04123,0412337210,120,40,,,,
2023-24,B.E/B.Tech,Round I,04123,0412350710,60,22,,,,
2023-24,B.E/B.Tech,Round I,04123,0412361210,120,50,,,,
2023-24,B.E/B.Tech,Round I,04123,0412399510,120,30,,,,
2023-24,B.E/B.Tech,Round I,04136,0413619110,60,25,,,,
2023-24,B.E/B.Tech,Round I,04136,0413624210,120,30,,,,
2023-24,B.E/B.Tech,Round I,04136,0413629310,60,25,,,,
2023-24,B.E/B.Tech,Round I,04136,0413637210,60,17,,,,
2023-24,B.E/B.Tech,Round I,04136,0413699710,60,14,,,,
2023-24,B.E/B.Tech,Round I,04137,0413724210,180,44,,,,
2023-24,B.E/B.Tech,Round I,04137,0413729310,30,13,,,,
2023-24,B.E/B.Tech,Round I,04137,0413737210,60,22,,,,
2023-24,B.E/B.Tech,Round I,04137,0413761210,30,13,,,,
2023-24,B.E/B.Tech,Round I,04137,0413791110,60,14,,,,
2023-24,B.E/B.Tech,Round I,04137,0413791210,60,14,,,,
2023-24,B.E/B.Tech,Round I,04138,0413819110,30,13,,,,
2023-24,B.E/B.Tech,Round I,04138,0413824210,120,30,,,,
2023-24,B.E/B.Tech,Round I,04138,0413824610,90,37,,,,
2023-24,B.E/B.Tech,Round I,04138,0413829310,30,13,,,,
2023-24,B.E/B.Tech,Round I,04138,0413837210,60,25,,,,
2023-24,B.E/B.Tech,Round I,04138,0413861210,30,13,,,,
2023-24,B.E/B.Tech,Round I,04138,0413891210,60,25,,,,
2023-24,B.E/B.Tech,Round I,04138,0413899710,60,25,,,,
2023-24,B.E/B.Tech,Round I,04139,0413924210,150,62,,,,
2023-24,B.E/B.Tech,Round I,04139,0413929310,30,13,,,,
2023-24,B.E/B.Tech,Round I,04139,0413937210,30,13,,,,
2023-24,B.E/B.Tech,Round I,04139,0413961210,30,13,,,,
2023-24,B.E/B.Tech,Round I,04139,0413991110,120,50,,,,
2023-24,B.E/B.Tech,Round I,04139,0413992810,60,25,,,,
2023-24,B.E/B.Tech,Round I,04142,0414219110,60,22,,,,
2023-24,B.E/B.Tech,Round I,04142,0414224210,180,44,,,,
2023-24,B.E/B.Tech,Round I,04142,0414224610,60,14,,,,
2023-24,B.E/B.Tech,Round I,04142,0414229310,60,22,,,,
2023-24,B.E/B.Tech,Round I,04142,0414237210,60,14,,,,
2023-24,B.E/B.Tech,Round I,04142,0414261210,60,22,,,,
2023-24,B.E/B.Tech,Round I,04142,0414291010,60,14,,,,
2023-24,B.E/B.Tech,Round I,04142,0414291710,60,14,,,,
2023-24,B.E/B.Tech,Round I,04142,0414299710,180,44,,,,
2023-24,B.E/B.Tech,Round I,04151,0415100210,60,51,,,,
2023-24,B.E/B.Tech,Round I,04151,0415108210,60,51,,,,
2023-24,B.E/B.Tech,Round I,04151,0415119110,60,51,,,,
2023-24,B.E/B.Tech,Round I,04151,0415124210,150,127,,,,
2023-24,B.E/B.Tech,Round I,04151,0415124610,90,76,,,,
2023-24,B.E/B.Tech,Round I,04151,0415129310,90,76,,,,
2023-24,B.E/B.Tech,Round I,04151,0415137010,90,76,,,,
2023-24,B.E/B.Tech,Round I,04151,0415161210,90,76,,,,
2023-24,B.E/B.Tech,Round I,04151,0415191210,90,76,,,,
2023-24,B.E/B.Tech,Round I,04167,0416719110,120,90,,,,
2023-24,B.E/B.Tech,Round I,04167,0416724210,180,117,,,,
2023-24,B.E/B.Tech,Round I,04167,0416724610,120,78,,,,
2023-24,B.E/B.Tech,Round I,04167,0416725110,60,39,,,,
2023-24,B.E/B.Tech,Round I,04167,0416725710,60,39,,,,
2023-24,B.E/B.Tech,Round I,04167,0416726710,60,39,,,,
2023-24,B.E/B.Tech,Round I,04167,0416735610,120,102,,,,
2023-24,B.E/B.Tech,Round I,04167,0416737210,180,117,,,,
2023-24,B.E/B.Tech,Round I,04167,0416737610,120,78,,,,
2023-24,B.E/B.Tech,Round I,04167,0416737810,60,39,,,,
2023-24,B.E/B.Tech,Round I,04167,0416761210,120,102,,,,
2023-24,B.E/B.Tech,Round I,04167,0416791110,60,39,,,,
2023-24,B.E/B.Tech,Round I,04167,0416799510,60,39,,,,
2023-24,B.E/B.Tech,Round I,04174,0417419110,60,20,,,,
2023-24,B.E/B.Tech,Round I,04174,0417424510,120,30,,,,
2023-24,B.E/B.Tech,Round I,04174,0417424610,60,14,,,,
2023-24,B.E/B.Tech,Round I,04174,0417426010,60,14,,,,
2023-24,B.E/B.Tech,Round I,04174,0417426210,60,14,,,,
2023-24,B.E/B.Tech,Round I,04174,0417426510,60,14,,,,
2023-24,B.E/B.Tech,Round I,04174,0417429310,60,14,,,,
2023-24,B.E/B.Tech,Round I,04174,0417437210,60,14,,,,
2023-24,B.E/B.Tech,Round I,04174,0417461210,60,14,,,,
2023-24,B.E/B.Tech,Round I,04174,0417491210,60,14,,,,
2023-24,B.E/B.Tech,Round I,04174,0417499710,60,14,,,,
2023-24,B.E/B.Tech,Round I,05004,0500419110,60,60,,,,
2023-24,B.E/B.Tech,Round I,05004,0500424510,60,60,,,,
2023-24,B.E/B.Tech,Round I,05004,0500429310,60,60,,,,
2023-24,B.E/B.Tech,Round I,05004,0500437210,60,60,,,,
2023-24,B.E/B.Tech,Round I,05004,0500446610,60,60,,,,
2023-24,B.E/B.Tech,Round I,05004,0500461210,60,60,,,,
2023-24,B.E/B.Tech,Round I,05109,0510919110,60,51,,,,
2023-24,B.E/B.Tech,Round I,05109,0510924510,120,78,,,,
2023-24,B.E/B.Tech,Round I,05109,0510924610,60,39,,,,
2023-24,B.E/B.Tech,Round I,05109,0510929310,60,51,,,,
2023-24,B.E/B.Tech,Round I,05109,0510937210,60,39,,,,
2023-24,B.E/B.Tech,Round I,05109,0510961210,60,51,,,,
2023-24,B.E/B.Tech,Round I,05109,0510991610,60,51,,,,
2023-24,B.E/B.Tech,Round I,05109,0510999510,60,39,,,,
2023-24,B.E/B.Tech,Round I,05121,0512119110,120,102,,,,
2023-24,B.E/B.Tech,Round I,05121,0512124510,120,78,,,,
2023-24,B.E/B.Tech,Round I,05121,0512124610,120,78,,,,
2023-24,B.E/B.Tech,Round I,05121,0512125710,60,39,,,,
2023-24,B.E/B.Tech,Round I,05121,0512129310,120,102,,,,
2023-24,B.E/B.Tech,Round I,05121,0512137210,120,90,,,,
2023-24,B.E/B.Tech,Round I,05121,0512150710,60,51,,,,
2023-24,B.E/B.Tech,Round I,05121,0512161210,120,90,,,,
2023-24,B.E/B.Tech,Round I,05121,0512191910,60,51,,,,
2023-24,B.E/B.Tech,Round I,05121,0512199510,120,78,,,,
2023-24,B.E/B.Tech,Round I,05152,0515219110,60,25,,,,
2023-24,B.E/B.Tech,Round I,05152,0515224210,120,30,,,,
2023-24,B.E/B.Tech,Round I,05152,0515224610,30,8,,,,
2023-24,B.E/B.Tech,Round I,05152,0515229310,30,13,,,,
2023-24,B.E/B.Tech,Round I,05152,0515237210,30,10,,,,
2023-24,B.E/B.Tech,Round I,05152,0515261210,60,25,,,,
2023-24,B.E/B.Tech,Round I,05152,0515291110,60,14,,,,
2023-24,B.E/B.Tech,Round I,05152,0515291210,60,14,,,,
2023-24,B.E/B.Tech,Round I,05152,0515291310,60,14,,,,
2023-24,B.E/B.Tech,Round I,05160,0516019110,120,102,,,,
2023-24,B.E/B.Tech,Round I,05160,0516024510,120,78,,,,
2023-24,B.E/B.Tech,Round I,05160,0516024610,120,78,,,,
2023-24,B.E/B.Tech,Round I,05160,0516029310,60,51,,,,
2023-24,B.E/B.Tech,Round I,05160,0516061210,120,100,,,,
2023-24,B.E/B.Tech,Round I,05160,0516062410,60,45,,,,
2023-24,B.E/B.Tech,Round I,05160,0516084410,60,39,,,,
2023-24,B.E/B.Tech,Round I,05160,0516091510,60,51,,,,
2023-24,B.E/B.Tech,Round I,05172,0517219110,60,25,,,,
2023-24,B.E/B.Tech,Round I,05172,0517224510,180,44,,,,
2023-24,B.E/B.Tech,Round I,05172,0517229310,60,25,,,,
2023-24,B.E/B.Tech,Round I,05172,0517237210,120,50,,,,
2023-24,B.E/B.Tech,Round I,05172,0517261210,60,25,,,,
2023-24,B.E/B.Tech,Round I,05172,0517291210,60,14,,,,
2023-24,B.E/B.Tech,Round I,05172,0517292110,60,14,,,,
2023-24,B.E/B.Tech,Round I,06005,0600519110,60,60,,,,
2023-24,B.E/B.Tech,Round I,06005,0600524610,60,60,,,,
2023-24,B.E/B.Tech,Round I,06005,0600529310,60,60,,,,
2023-24,B.E/B.Tech,Round I,06005,0600537210,60,60,,,,
2023-24,B.E/B.Tech,Round I,06005,0600561210,60,60,,,,
2023-24,B.E/B.Tech,Round I,06006,0600619110,75,60,,,,
2023-24,B.E/B.Tech,Round I,06006,0600624510,150,120,,,,
2023-24,B.E/B.Tech,Round I,06006,0600629310,75,60,,,,
2023-24,B.E/B.Tech,Round I,06006,0600637210,75,60,,,,
2023-24,B.E/B.Tech,Round I,06006,0600646410,38,30,,,,
2023-24,B.E/B.Tech,Round I,06006,0600661210,150,120,,,,
2023-24,B.E/B.Tech,Round I,06006,0600662710,75,60,,,,
2023-24,B.E/B.Tech,Round I,06006,0600669410,75,60,,,,
2023-24,B.E/B.Tech,Round I,06007,0600719110,60,59,,,,
2023-24,B.E/B.Tech,Round I,06007,0600724210,90,88,,,,
2023-24,B.E/B.Tech,Round I,06007,0600724610,60,59,,,,
2023-24,B.E/B.Tech,Round I,06007,0600729310,60,60,,,,
2023-24,B.E/B.Tech,Round I,06007,0600737610,60,60,,,,
2023-24,B.E/B.Tech,Round I,06007,0600761210,60,59,,,,
2023-24,B.E/B.Tech,Round I,06141,0614119110,120,102,,,,
2023-24,B.E/B.Tech,Round I,06141,0614124510,120,78,,,,
2023-24,B.E/B.Tech,Round I,06141,0614124610,120,78,,,,
2023-24,B.E/B.Tech,Round I,06141,0614126210,60,39,,,,
2023-24,B.E/B.Tech,Round I,06141,0614129310,60,39,,,,
2023-24,B.E/B.Tech,Round I,06141,0614137210,120,78,,,,
2023-24,B.E/B.Tech,Round I,06141,0614161210,180,117,,,,
2023-24,B.E/B.Tech,Round I,06141,0614191610,60,39,,,,
2023-24,B.E/B.Tech,Round I,06146,0614619110,60,39,,,,
2023-24,B.E/B.Tech,Round I,06146,0614624510,240,156,,,,
2023-24,B.E/B.Tech,Round I,06146,0614637210,180,117,,,,
2023-24,B.E/B.Tech,Round I,06146,0614637610,60,39,,,,
2023-24,B.E/B.Tech,Round I,06146,0614650710,60,39,,,,
2023-24,B.E/B.Tech,Round I,06146,0614661210,120,78,,,,
2023-24,B.E/B.Tech,Round I,06146,0614692710,60,39,,,,
2023-24,B.E/B.Tech,Round I,06155,0615519110,60,25,,,,
2023-24,B.E/B.Tech,Round I,06155,0615524510,180,44,,,,
2023-24,B.E/B.Tech,Round I,06155,0615524610,180,44,,,,
2023-24,B.E/B.Tech,Round I,06155,0615526010,60,14,,,,
2023-24,B.E/B.Tech,Round I,06155,0615529310,60,25,,,,
2023-24,B.E/B.Tech,Round I,06155,0615537210,90,30,,,,
2023-24,B.E/B.Tech,Round I,06155,0615561210,60,25,,,,
2023-24,B.E/B.Tech,Round I,06155,0615591110,120,30,,,,
2023-24,B.E/B.Tech,Round I,06155,0615591210,60,14,,,,
2023-24,B.E/B.Tech,Round I,06155,0615591310,180,44,,,,
2023-24,B.E/B.Tech,Round I,06175,0617519110,60,39,,,,
2023-24,B.E/B.Tech,Round I,06175,0617524510,240,156,,,,
2023-24,B.E/B.Tech,Round I,06175,0617524610,120,78,,,,
2023-24,B.E/B.Tech,Round I,06175,0617537210,180,117,,,,
2023-24,B.E/B.Tech,Round I,06175,0617561210,180,117,,,,
2023-24,B.E/B.Tech,Round I,06175,0617591110,60,39,,,,
2023-24,B.E/B.Tech,Round I,06214,0621419110,60,45,,,,
2023-24,B.E/B.Tech,Round I,06214,0621424510,120,78,,,,
2023-24,B.E/B.Tech,Round I,06214,0621429310,60,45,,,,
2023-24,B.E/B.Tech,Round I,06214,0621437210,120,78,,,,
2023-24,B.E/B.Tech,Round I,06214,0621456810,60,39,,,,
2023-24,B.E/B.Tech,Round I,06214,0621461210,120,97,,,,
2023-24,B.E/B.Tech,Round I,06214,0621462410,60,47,,,,
2023-24,B.E/B.Tech,Round I,06214,0621491110,60,39,,,,
2023-24,B.E/B.Tech,Round I,06214,0621491910,30,20,,,,
2023-24,B.E/B.Tech,Round I,06222,0622219110,60,45,,,,
2023-24,B.E/B.Tech,Round I,06222,0622224210,120,78,,,,
2023-24,B.E/B.Tech,Round I,06222,0622226310,60,39,,,,
2023-24,B.E/B.Tech,Round I,06222,0622229310,60,48,,,,
2023-24,B.E/B.Tech,Round I,06222,0622237210,120,78,,,,
2023-24,B.E/B.Tech,Round I,06222,0622257010,30,19,,,,
2023-24,B.E/B.Tech,Round I,06222,0622261210,60,48,,,,
2023-24,B.E/B.Tech,Round I,06222,0622288610,30,19,,,,
2023-24,B.E/B.Tech,Round I,06222,0622289010,60,43,,,,
2023-24,B.E/B.Tech,Round I,06222,0622289510,30,22,,,,
2023-24,B.E/B.Tech,Round I,06222,0622289610,60,39,,,,
2023-24,B.E/B.Tech,Round I,06222,0622291110,120,78,,,,
2023-24,B.E/B.Tech,Round I,06250,0625019110,120,102,,,,
2023-24,B.E/B.Tech,Round I,06250,0625024210,240,156,,,,
2023-24,B.E/B.Tech,Round I,06250,0625037210,60,39,,,,
2023-24,B.E/B.Tech,Round I,06250,0625050710,60,51,,,,
2023-24,B.E/B.Tech,Round I,06250,0625061210,120,102,,,,
2023-24,B.E/B.Tech,Round I,06250,0625091110,120,78,,,,
2023-24,B.E/B.Tech,Round I,06250,0625091210,180,117,,,,
2023-24,B.E/B.Tech,Round I,06265,0626519110,60,25,,,,
2023-24,B.E/B.Tech,Round I,06265,0626524210,180,59,,,,
2023-24,B.E/B.Tech,Round I,06265,0626524610,120,45,,,,
2023-24,B.E/B.Tech,Round I,06265,0626537210,120,50,,,,
2023-24,B.E/B.Tech,Round I,06265,0626561510,60,25,,,,
2023-24,B.E/B.Tech,Round I,06265,0626584410,60,22,,,,
2023-24,B.E/B.Tech,Round I,06267,0626708210,30,19,,,,
2023-24,B.E/B.Tech,Round I,06267,0626719110,120,96,,,,
2023-24,B.E/B.Tech,Round I,06267,0626724210,180,117,,,,
2023-24,B.E/B.Tech,Round I,06267,0626726210,180,117,,,,
2023-24,B.E/B.Tech,Round I,06267,0626729310,60,39,,,,
2023-24,B.E/B.Tech,Round I,06267,0626737210,120,78,,,,
2023-24,B.E/B.Tech,Round I,06267,0626761210,180,117,,,,
2023-24,B.E/B.Tech,Round I,06267,0626791110,120,78,,,,
2023-24,B.E/B.Tech,Round I,06267,0626791210,60,39,,,,
2023-24,B.E/B.Tech,Round I,06267,0626792210,60,45,,,,
2023-24,B.E/B.Tech,Round I,06268,0626819110,120,102,,,,
2023-24,B.E/B.Tech,Round I,06268,0626824210,180,117,,,,
2023-24,B.E/B.Tech,Round I,06268,0626837210,60,39,,,,
2023-24,B.E/B.Tech,Round I,06268,0626850710,60,50,,,,
2023-24,B.E/B.Tech,Round I,06268,0626861210,180,153,,,,
2023-24,B.E/B.Tech,Round I,06273,0627324510,240,156,,,,
2023-24,B.E/B.Tech,Round I,06273,0627324610,180,117,,,,
2023-24,B.E/B.Tech,Round I,06273,0627337210,180,129,,,,
2023-24,B.E/B.Tech,Round I,06273,0627346410,60,48,,,,
2023-24,B.E/B.Tech,Round I,06273,0627350710,60,48,,,,
2023-24,B.E/B.Tech,Round I,06273,0627361210,180,144,,,,
2023-24,B.E/B.Tech,Round I,06273,0627391110,120,78,,,,
2023-24,B.E/B.Tech,Round I,06273,0627391310,120,78,,,,
2023-24,B.E/B.Tech,Round I,06273,0627399510,180,117,,,,
2023-24,B.E/B.Tech,Round I,06282,0628224510,120,78,,,,
2023-24,B.E/B.Tech,Round I,06282,0628224610,60,39,,,,
2023-24,B.E/B.Tech,Round I,06282,0628229310,60,48,,,,
2023-24,B.E/B.Tech,Round I,06282,0628237210,120,78,,,,
2023-24,B.E/B.Tech,Round I,06282,0628246610,60,48,,,,
2023-24,B.E/B.Tech,Round I,06282,0628299510,120,78,,,,
2023-24,B.E/B.Tech,Round I,06283,0628300210,60,51,,,,
2023-24,B.E/B.Tech,Round I,06283,0628319110,60,51,,,,
2023-24,B.E/B.Tech,Round I,06283,0628324210,120,78,,,,
2023-24,B.E/B.Tech,Round I,06283,0628326310,60,39,,,,
2023-24,B.E/B.Tech,Round I,06283,0628329310,120,102,,,,
2023-24,B.E/B.Tech,Round I,06283,0628350310,60,51,,,,
2023-24,B.E/B.Tech,Round I,06283,0628361210,120,102,,,,
2023-24,B.E/B.Tech,Round I,06283,0628392010,60,39,,,,
2023-24,B.E/B.Tech,Round I,06284,0628419110,60,51,,,,
2023-24,B.E/B.Tech,Round I,06284,0628424510,120,78,,,,
2023-24,B.E/B.Tech,Round I,06284,0628424610,60,39,,,,
2023-24,B.E/B.Tech,Round I,06284,0628429310,60,51,,,,
2023-24,B.E/B.Tech,Round I,06284,0628437210,60,51,,,,
2023-24,B.E/B.Tech,Round I,06284,0628461210,60,51,,,,
2023-24,B.E/B.Tech,Round I,06284,0628499510,120,78,,,,
2023-24,B.E/B.Tech,Round I,06289,0628919110,60,48,,,,
2023-24,B.E/B.Tech,Round I,06289,0628924510,240,156,,,,
2023-24,B.E/B.Tech,Round I,06289,0628924610,180,117,,,,
2023-24,B.E/B.Tech,Round I,06289,0628937210,180,150,,,,
2023-24,B.E/B.Tech,Round I,06289,0628961210,120,102,,,,
2023-24,B.E/B.Tech,Round I,06289,0628991110,60,39,,,,
2023-24,B.E/B.Tech,Round I,06289,0628991210,60,48,,,,
2023-24,B.E/B.Tech,Round I,06289,0628991310,120,87,,,,
2023-24,B.E/B.Tech,Round I,06289,0628992010,60,48,,,,
2023-24,B.E/B.Tech,Round I,06289,0628992710,60,48,,,,
